city,state,10th,25th,50th,75th,90th,date
Windham,ME,49668,56970,64991,74230,82642,"June 26, 2023"
Ann Arbor,MI,51999,59644,68041,77714,86521,"June 26, 2023"
Battle Creek,MI,49938,57280,65345,74634,83091,"June 26, 2023"
Benton Harbor,MI,48754,55922,63795,72864,81121,"June 26, 2023"
Canton,MI,51918,59552,67936,77594,86386,"June 26, 2023"
Dearborn,MI,50951,58442,66670,76148,84777,"June 26, 2023"
Dearborn Heights,MI,50924,58411,66634,76107,84731,"June 26, 2023"
Detroit,MI,50951,58442,66670,76148,84777,"June 26, 2023"
Farmington,MI,50736,58195,66388,75826,84419,"June 26, 2023"
Flint,MI,46972,53878,61463,70201,78156,"June 26, 2023"
Grand Rapids,MI,48870,56055,63947,73037,81314,"June 26, 2023"
Kalamazoo,MI,49176,56406,64347,73494,81823,"June 26, 2023"
Lansing,MI,48779,55951,63828,72902,81163,"June 26, 2023"
Livonia,MI,50790,58257,66459,75907,84508,"June 26, 2023"
Muskegon,MI,47131,54061,61672,70439,78421,"June 26, 2023"
Novi,MI,51757,59367,67725,77353,86118,"June 26, 2023"
Pontiac,MI,50957,58448,66677,76156,84786,"June 26, 2023"
Royal Oak,MI,50897,58380,66599,76067,84687,"June 26, 2023"
Saginaw,MI,47227,54171,61797,70582,78580,"June 26, 2023"
Southfield,MI,50843,58318,66529,75986,84597,"June 26, 2023"
Sterling Heights,MI,50790,58257,66459,75907,84508,"June 26, 2023"
Taylor,MI,50870,58350,66564,76027,84642,"June 26, 2023"
Troy,MI,50763,58226,66423,75866,84463,"June 26, 2023"
Warren,MI,50951,58442,66670,76148,84777,"June 26, 2023"
Waterford,MI,50993,58491,66725,76211,84847,"June 26, 2023"
West Bloomfield,MI,51064,58572,66818,76317,84965,"June 26, 2023"
Westland,MI,51273,58812,67092,76630,85313,"June 26, 2023"
Wyoming,MI,48870,56055,63947,73037,81314,"June 26, 2023"
Burnsville,MN,53536,61407,70052,80011,89078,"June 26, 2023"
Duluth,MN,48250,55344,63136,72111,80282,"June 26, 2023"
Eden Prairie,MN,53597,61477,70132,80101,89178,"June 26, 2023"
Lakeville,MN,53355,61199,69815,79740,88776,"June 26, 2023"
Minneapolis,MN,53687,61581,70250,80237,89329,"June 26, 2023"
Minnetonka,MN,53687,61581,70250,80237,89329,"June 26, 2023"
Rochester,MN,50518,57945,66103,75500,84055,"June 26, 2023"
